latitude,longitude,intensity
48.862484,2.268196,600
48.841587,2.297334,326
48.875026,2.313639,269
48.885507,2.307829,269
48.854138,2.312202,221
48.830701,2.326614,173
48.848352,2.331171,168
48.890839,2.34379,146
48.842996,2.348651,140
48.828947,2.357334,134
48.859266,2.379445,130
48.868702,2.291096,118
48.854249,2.358935,104
48.839701,2.403404,97
48.869018,2.280486,97
48.865942,2.395917,94
48.856537,2.301854,90
48.876041,2.360697,85
48.850609,2.268681,83
48.861797,2.360735,81
48.842771,2.261754,77
48.860023,2.277298,76
48.883179,2.38434,73
48.863983,2.335914,65
48.840654,2.315635,64
48.844958,2.307854,64
48.878272,2.2899,64
48.834135,2.283016,62
48.856433,2.275778,61
48.854609,2.326174,60
48.883313,2.288845,59
48.873113,2.311076,58
48.885924,2.339681,58
48.88745,2.301691,58
48.868181,2.341629,56
48.877645,2.338341,56
48.880442,2.298328,53
48.847622,2.336509,52
48.850694,2.294804,52
48.876002,2.301597,52
48.891746,2.340815,52
48.8678,2.307609,51
48.832326,2.30076,50
48.870728,2.32071,50
48.849115,2.312849,48
48.89004,2.329922,47
48.885973,2.322486,45
48.892375,2.324801,45
48.841767,2.343759,44
48.853404,2.283249,44
48.844247,2.291405,43
48.8417,2.280609,42
48.856927,2.316859,42
48.824379,2.325898,41
48.821081,2.350867,39
48.846417,2.322947,38
48.840554,2.297554,37
48.858809,2.384166,36
48.883308,2.311715,36
48.837553,2.305093,35
48.838585,2.327954,35
48.83202,2.329382,33
48.867818,2.259206,33
48.848997,2.375276,32
48.853865,2.376571,32
48.87749,2.311566,32
48.887293,2.351562,32
48.833778,2.319536,31
48.895126,2.35418,31
48.847347,2.287034,30
48.848714,2.345922,30
48.828111,2.312588,29
48.843457,2.332667,29
48.854334,2.339916,29
48.880443,2.331205,29
48.841093,2.354921,28
48.834718,2.348324,27
48.854881,2.333321,27
48.847425,2.35205,26
48.852081,2.391329,26
48.866056,2.357123,26
48.878347,2.319699,26
48.889418,2.361881,26
48.856141,2.359677,24
48.863681,2.36284,24
48.837101,2.360358,21
48.862631,2.345419,21
48.866316,2.378978,21
48.82375,2.337326,20
48.865274,2.336488,20
48.865985,2.346034,20
48.828441,2.350149,19
48.872676,2.39716,19
48.873086,2.330193,19
48.852313,2.365768,18
48.864028,2.370579,18
48.874499,2.343404,18
48.880241,2.345876,18
48.821964,2.364885,17
48.845545,2.394622,17
48.859068,2.407262,17
48.867292,2.328761,17
48.878955,2.339356,17
48.868045,2.403069,16
48.881378,2.362574,16
48.83577,2.29846,15
48.836334,2.396466,15
48.859022,2.363797,15
48.859444,2.352668,15
48.872339,2.370514,15
48.867714,2.348946,14
48.85733,2.397697,13
48.85858,2.2847,13
